"Region,Subregion,Country,Month,By_Air,By_Sea,Total_Arrivals,Previous_Year_Arrivals,Growth_Percent"
"MIDDLE EAST,,Saudi Arabia,January,487,0,487,511,-4.7"
"MIDDLE EAST,,United Arab Emirates,January,191,0,191,219,-12.8"
"MIDDLE EAST,,Others,January,78,0,78,58,34.5"
"AMERICAS,North America,Canada,February,4100,450,4550,3912,16.3"
"AMERICAS,North America,Mexico,February,81,37,118,95,24.2"
"AMERICAS,North America,United States,February,5566,873,6439,5709,12.8"
"AMERICAS,Caribbean & Central America,Costa Rica,February,13,0,13,14,-7.1"
"AMERICAS,Caribbean & Central America,Jamaica,February,0,2,2,11,-54.5"
"AMERICAS,Caribbean & Central America,Others,February,62,7,69,72,-4.2"
"AMERICAS,South America,Argentina,February,74,5,79,79,0.0"
"AMERICAS,South America,Brazil,February,159,18,177,212,-16.5"
"AMERICAS,South America,Chile,February,62,15,77,61,26.2"
"AMERICAS,South America,Colombia,February,43,1,44,70,-37.1"
"AMERICAS,South America,Others,February,87,3,90,69,30.4"
"AFRICA,North Africa,Morocco,February,102,0,102,103,-1.0"
"AFRICA,North Africa,Sudan,February,53,0,53,42,26.2"
"AFRICA,North Africa,Others,February,167,0,167,174,-4.0"
"AFRICA,Sub-Saharan Africa,Kenya,February,55,0,55,64,-14.1"
"AFRICA,Sub-Saharan Africa,Mauritius,February,88,2,90,53,69.8"
"AFRICA,Sub-Saharan Africa,Nigeria,February,4,0,4,11,-63.6"
"AFRICA,Sub-Saharan Africa,South Africa,February,376,17,393,350,12.3"
"AFRICA,Sub-Saharan Africa,Others,February,341,4,345,294,17.3"
"ASIA & PACIFIC,North East Asia,China,February,11678,12,11690,16279,-28.2"
"ASIA & PACIFIC,North East Asia,Japan,February,3519,8,3527,2666,32.3"
"ASIA & PACIFIC,North East Asia,South Korea,February,1471,0,1471,830,77.2"
"ASIA & PACIFIC,North East Asia,Others,February,4,0,4,6,-33.3"
"ASIA & PACIFIC,South East Asia,Cambodia,February,131,1,132,41,222.0"
"ASIA & PACIFIC,South East Asia,Indonesia,February,511,4,515,320,60.9"
"ASIA & PACIFIC,South East Asia,Malaysia,February,1402,13,1415,2250,-37.1"
"ASIA & PACIFIC,South East Asia,Myanmar,February,82,0,82,101,-18.8"
"ASIA & PACIFIC,South East Asia,Philippines,February,375,6,381,440,-13.4"
"ASIA & PACIFIC,South East Asia,Singapore,February,1018,6,1024,862,18.8"
"ASIA & PACIFIC,South East Asia,Thailand,February,714,5,719,716,0.4"
"ASIA & PACIFIC,South East Asia,Vietnam,February,251,2,253,270,-6.3"
"ASIA & PACIFIC,South East Asia,Others,February,40,0,40,24,66.7"
"ASIA & PACIFIC,Oceania,Australia,February,8355,423,8778,6265,40.1"
"ASIA & PACIFIC,Oceania,New Zealand,February,664,77,741,567,30.7"
"ASIA & PACIFIC,Oceania,Others,February,30,0,30,13,130.8"
"ASIA & PACIFIC,South Asia,Afghanistan,February,15,0,15,21,-28.6"
"ASIA & PACIFIC,South Asia,Bangladesh,February,5262,0,5262,2389,120.3"
"ASIA & PACIFIC,South Asia,Bhutan,February,39,0,39,67,-41.8"
"ASIA & PACIFIC,South Asia,India,February,35481,247,35728,30027,19.0"
"ASIA & PACIFIC,South Asia,Iran,February,615,0,615,919,-33.1"
"ASIA & PACIFIC,South Asia,Maldives,February,2843,0,2843,3235,-12.1"
"ASIA & PACIFIC,South Asia,Nepal,February,374,0,374,508,-26.4"
"ASIA & PACIFIC,South Asia,Pakistan,February,1152,0,1152,1299,-11.3"
"EUROPE,Northern Europe,Denmark,February,2677,36,2713,2160,25.6"
"EUROPE,Northern Europe,Finland,February,767,23,790,666,18.6"
"EUROPE,Northern Europe,Norway,February,1376,24,1400,1329,5.3"
"EUROPE,Northern Europe,Sweden,February,1995,12,2007,1903,5.5"
"EUROPE,Northern Europe,United Kingdom,February,23077,2451,25528,20614,23.8"
"EUROPE,Northern Europe,Others,February,1026,79,1105,902,22.5"
"EUROPE,Western Europe,Austria,February,2636,4,2640,2372,11.3"
"EUROPE,Western Europe,Belgium,February,1982,12,1994,1577,26.4"
"EUROPE,Western Europe,France,February,15455,14,15469,12503,23.7"
"EUROPE,Western Europe,Germany,February,17128,105,17233,16259,6.0"
"EUROPE,Western Europe,Netherlands,February,5561,28,5589,4011,39.3"
"EUROPE,Western Europe,Switzerland,February,3252,14,3266,2888,13.1"
"EUROPE,Western Europe,Others,February,107,3,110,106,3.8"
"EUROPE,Central/Eastern Europe,Belarus,February,1451,4,1455,1884,-22.8"
"EUROPE,Central/Eastern Europe,Czech Republic,February,3366,4,3370,3852,-12.5"
"EUROPE,Central/Eastern Europe,Estonia,February,934,0,934,898,4.0"
"EUROPE,Central/Eastern Europe,Hungary,February,1083,6,1089,1311,-16.9"
"EUROPE,Central/Eastern Europe,Kazakhstan,February,2463,0,2463,2682,-8.2"
"EUROPE,Central/Eastern Europe,Lithuania,February,1353,1,1354,1601,-15.4"
"EUROPE,Central/Eastern Europe,Poland,February,8519,0,8519,6909,23.3"
"EUROPE,Central/Eastern Europe,Romania,February,872,22,894,940,-4.9"
